text,label,gender,text_cf,swap_changed
"He graduated in 2014 from the University of Minnesota School of Journalism and Mass Communication with degrees in journalism and new media studies. As a student reporter at the Star Tribune, he previously covered health issues. His past experience includes work for MinnPost, Pioneer Press, News21 and Minnesota Daily. PGP Fingerprint: E502 A15E A8D1 8CAA 478A F1CE 13AC DE60 A335 72D +JeffHargarten",11,0,"She graduated in 2014 from the University of Minnesota School of Journalism and Mass Communication with degrees in journalism and new media studies. As a student reporter at the Star Tribune, she previously covered health issues. Her past experience includes work for MinnPost, Pioneer Press, News21 and Minnesota Daily. PGP Fingerprint: E502 A15E A8D1 8CAA 478A F1CE 13AC DE60 A335 72D +JeffHargarten",1
He earned his Ph.D. (Operations Management) and M.S. (Management Science Methods) from the Simon School of Business at the University of Rochester and his B.Tech. from the Indian Institute of Technology at Madras.,21,0,She earned her Ph.D. (Operations Management) and M.S. (Management Science Methods) from the Simon School of Business at the University of Rochester and her B.Tech. from the Indian Institute of Technology at Madras.,1
"Her research is focused on decision making and public engagement approaches in environmental, land use, and transportation planning. She has a particular interests in sustainability and impact assessment approaches. In addition to her academic credentials, she has worked a planner in the public and private sectors. She is currently a Faculty Scholar with the University of Minnesota's Center for Transportation Studies and a Resident Fellow in the Institute on the Environment.",21,1,"His research is focused on decision making and public engagement approaches in environmental, land use, and transportation planning. He has a particular interests in sustainability and impact assessment approaches. In addition to his academic credentials, he has worked a planner in the public and private sectors. He is currently a Faculty Scholar with the University of Minnesota's Center for Transportation Studies and a Resident Fellow in the Institute on the Environment.",1
"She graduated with honors from Emory University School Of Medicine in 1999. Having more than 17 years of diverse experiences, especially in NURSE PRACTITIONER, Laura Brannon affiliates with St Francis Hospital, and cooperates with other doctors and specialists without joining any medical groups. Call Laura Brannon on phone number (404) 712-4004 for more information and advises or to book an appointment.",13,1,"He graduated with honors from Emory University School Of Medicine in 1999. Having more than 17 years of diverse experiences, especially in NURSE PRACTITIONER, Laura Brannon affiliates with St Francis Hospital, and cooperates with other doctors and specialists without joining any medical groups. Call Laura Brannon on phone number (404) 712-4004 for more information and advises or to book an appointment.",1
"Catherine did her PhD work at Iowa State under pyrolysis expert Dr. Robert Brown. She has a passion for thermochemical conversion, biomass utilization, waste valorization, biochar characterization and communicating biochar science to non-scientists.",21,1,"Catherine did his PhD work at Iowa State under pyrolysis expert Dr. Robert Brown. He has a passion for thermochemical conversion, biomass utilization, waste valorization, biochar characterization and communicating biochar science to non-scientists.",1
"He’s been consumed by terrible guilt for the last ten years and doesn’t have a life outside of taking care of his son. Harrison has Asperger’s Syndrome and Flint’s a hands on parent. He changed Harrison’s diet and tested him for allergens, all things Flint swears has helped him be a well-adjusted, fairly “normal” twelve-year-old.",2,0,"She’s been consumed by terrible guilt for the last ten years and doesn’t have a life outside of taking care of her daughter. Harrison has Asperger’s Syndrome and Flint’s a hands on parent. She changed Harrison’s diet and tested her for allergens, all things Flint swears has helped her be a well-adjusted, fairly “normal” twelve-year-old.",1
"Ms Kigham was a Law Clerk at the Fondungallah Law Offices from 2003 to 2004, while attending William Mitchell College of Law. Ms. Kigham is admitted to practice in the State of Minnesota, and is a member of the Ramsey County Bar Association, Minnesota State Bar Association and Minnesota Black Lawyers Association.",2,1,"Mr Kigham was a Law Clerk at the Fondungallah Law Offices from 2003 to 2004, while attending William Mitchell College of Law. Mr. Kigham is admitted to practice in the State of Minnesota, and is a member of the Ramsey County Bar Association, Minnesota State Bar Association and Minnesota Black Lawyers Association.",1
"Dr. Gendron is a Social Psychologist by training. She completed her doctorate at Boston College in 2013 with Lisa Feldman Barrett, where she conducted research on emotion perception in laboratory studies, patients with neurodegenerative disorders, and in small-scale societies. Her research focused on the role of conceptual knowledge, anchored in language, in the perceptual representation of and inferences about emotional cues (facial movements, vocalizations). During her post-doctoral work, supported by a NIMH fellowship, Dr. Gendron expanded her training to affective neuroscience and its integration with cultural psychology. Ongoing work aims to integrate affective neuroscience approaches with the study of individual and cultural diversity in emotional phenomena, including through fieldwork in a small-scale societal contexts and in laboratory research in industrialized, globalized societies.",21,1,"Dr. Gendron is a Social Psychologist by training. He completed his doctorate at Boston College in 2013 with Lisa Feldman Barrett, where he conducted research on emotion perception in laboratory studies, patients with neurodegenerative disorders, and in small-scale societies. His research focused on the role of conceptual knowledge, anchored in language, in the perceptual representation of and inferences about emotional cues (facial movements, vocalizations). During his post-doctoral work, supported by a NIMH fellowship, Dr. Gendron expanded his training to affective neuroscience and its integration with cultural psychology. Ongoing work aims to integrate affective neuroscience approaches with the study of individual and cultural diversity in emotional phenomena, including through fieldwork in a small-scale societal contexts and in laboratory research in industrialized, globalized societies.",1
"He has over a decade experience in Java, ranging from embedded systems to large enterprise systems in the financial services space. He has been playing with Grails on various small projects for the past year. He has been in the DFW area for almost a decade now and is active in the local user group communities.",1,0,"She has over a decade experience in Java, ranging from embedded systems to large enterprise systems in the financial services space. She has been playing with Grails on various small projects for the past year. She has been in the DFW area for almost a decade now and is active in the local user group communities.",1
"She graduated from the University of California, Berkeley and received her master's degree in physician assistant studies at Midwestern Universitiy in Illinois. Physician Assistants are traned to take care of a variety of diseases under the supervision of a physician. They are required to take a national certification exam every six years and maintain continuing medical education each year. Lisa has experience in family medicine as well as the specialty of allergy and asthma. She speaks Spanish and she strongly believes in patient education and disease prevention. Lisa is married and has two children.",19,1,"He graduated from the University of California, Berkeley and received his master's degree in physician assistant studies at Midwestern Universitiy in Illinois. Physician Assistants are traned to take care of a variety of diseases under the supervision of a physician. They are required to take a national certification exam every six years and maintain continuing medical education each year. Lisa has experience in family medicine as well as the specialty of allergy and asthma. He speaks Spanish and he strongly believes in patient education and disease prevention. Lisa is married and has two children.",1
"Gary Webb locates a gang that is involved in more than smuggling activities. He makes it his aim to identify, locate and highlight every move of them. His keen concern brings up the fact that CIA is well aware of this gang’s activity and they are already after it. This gang includes the smugglers who smuggles cocaine to U.S parties. The profit earned out of this smuggling activity is use as the support to the rebels in Nicaragua. The rebels of Nicaragua are fighting in there to disturb the peace and to gain certain interests.",11,0,"Gary Webb locates a gang that is involved in more than smuggling activities. She makes it her aim to identify, locate and highlight every move of them. Her keen concern brings up the fact that CIA is well aware of this gang’s activity and they are already after it. This gang includes the smugglers who smuggles cocaine to U.S parties. The profit earned out of this smuggling activity is use as the support to the rebels in Nicaragua. The rebels of Nicaragua are fighting in there to disturb the peace and to gain certain interests.",1
"He did the 12 week Growing Wings Program at the beginning of 2011 to focus on his BIG dream and in that time honed his photography skills, started selling his photographs online on his website Basil Art Inc and plans to do his first exhibition soon.",25,0,"She did the 12 week Growing Wings Program at the beginning of 2011 to focus on her BIG dream and in that time honed her photography skills, started selling her photographs online on her website Basil Art Inc and plans to do her first exhibition soon.",1
"She is currently a Royal Society Dorothy Hodgkin Fellow and Senior Research Fellow at the University of Oxford's Department of Psychiatry, UK. She is also a clinician, specialised in the treatment of post traumatic stress disorder (PTSD) using cognitive behaviour therapy (CBT). Dr. Holmes is known for her clinical expertise and research in mental imagery - particularly trauma memory, with current work also reaching into depression and bipolar disorder. Dr Holmes' present work in experimental psychopathology seeks to understand cognitive mechanisms underlying distress across psychological disorders. In particular she is interested in the impact of mental imagery on emotional processing, and the impact of processing biases in the way people interpret information. Dr Emily Holmes receives research grant support from the Royal Society, ESRC and Wellcome Trust in the UK.",22,1,"He is currently a Royal Society Dorothy Hodgkin Fellow and Senior Research Fellow at the University of Oxford's Department of Psychiatry, UK. He is also a clinician, specialised in the treatment of post traumatic stress disorder (PTSD) using cognitive behaviour therapy (CBT). Dr. Holmes is known for his clinical expertise and research in mental imagery - particularly trauma memory, with current work also reaching into depression and bipolar disorder. Dr Holmes' present work in experimental psychopathology seeks to understand cognitive mechanisms underlying distress across psychological disorders. In particular he is interested in the impact of mental imagery on emotional processing, and the impact of processing biases in the way people interpret information. Dr Emily Holmes receives research grant support from the Royal Society, ESRC and Wellcome Trust in the UK.",1
"With an MFA in Dance from New York University’s Tisch School of the Arts, Stevie continues to perform professionally for a variety of New York-based choreographers. As a member of the team at the Harkness Center for Dance Injuries, Stevie had the distinct privilege of honing her expertise in dance science. She blends these two passions of art and science in her teaching, paying specific attention to the application of research in the dance studio.",21,1,"With an MFA in Dance from New York University’s Tisch School of the Arts, Stevie continues to perform professionally for a variety of New York-based choreographers. As a member of the team at the Harkness Center for Dance Injuries, Stevie had the distinct privilege of honing his expertise in dance science. He blends these two passions of art and science in his teaching, paying specific attention to the application of research in the dance studio.",1
"Dr. Sherman is a clinical instructor with UBC and is on the faculty of CBT Canada. Dr. Sherman uses mindfulness, cognitive behavioural therapy and meditation in his practice and has been facilitating groups in mindfulness based stress management for patients with mood disorders, persistent pain and chronic stress for over 7 years.",19,0,"Dr. Sherman is a clinical instructor with UBC and is on the faculty of CBT Canada. Dr. Sherman uses mindfulness, cognitive behavioural therapy and meditation in her practice and has been facilitating groups in mindfulness based stress management for patients with mood disorders, persistent pain and chronic stress for over 7 years.",1
"His areas of expertise consist of hip replacement, knee replacement, and shoulder surgery. Dr. Papas is professionally affiliated with UPMC St. Margaret. Before completing his residency at the University of Pittsburgh Medical Center (UPMC), Dr. Papas attended medical school at the University of Pittsburgh School of Medicine. Patients rated him highly, giving him an average of 4.5 stars out of 5. Dr. Papas accepts several insurance carriers, including United Healthcare Platinum, United Healthcare Compass, and United Healthcare Navigate.",25,0,"Her areas of expertise consist of hip replacement, knee replacement, and shoulder surgery. Dr. Papas is professionally affiliated with UPMC St. Margaret. Before completing her residency at the University of Pittsburgh Medical Center (UPMC), Dr. Papas attended medical school at the University of Pittsburgh School of Medicine. Patients rated her highly, giving her an average of 4.5 stars out of 5. Dr. Papas accepts several insurance carriers, including United Healthcare Platinum, United Healthcare Compass, and United Healthcare Navigate.",1
"She completed internship at the Boston VA where she provided mental health services for inpatient psychiatry, residential and outpatient alcohol and substance use treatment, and the PTSD clinic. Thayer was a postdoctoral resident at the Miami VA Medical Center where she provides psychological services to a diverse population of Veterans with psychiatric conditions and medical comorbidities. She has extensive experience in the treatment of mood, anxiety, psychosis, personality, and alcohol and substance use disorders. She is particularly interested in the treatment of OCD, panic, and PTSD.",21,1,"He completed internship at the Boston VA where he provided mental health services for inpatient psychiatry, residential and outpatient alcohol and substance use treatment, and the PTSD clinic. Thayer was a postdoctoral resident at the Miami VA Medical Center where he provides psychological services to a diverse population of Veterans with psychiatric conditions and medical comorbidities. He has extensive experience in the treatment of mood, anxiety, psychosis, personality, and alcohol and substance use disorders. He is particularly interested in the treatment of OCD, panic, and PTSD.",1
"She obtained her Ph.D. in Marketing from Duke University. Her major research interests include behavioral economics, judgment and decision making, and contextual determinants of consumer behavior.",21,1,"He obtained his Ph.D. in Marketing from Duke University. His major research interests include behavioral economics, judgment and decision making, and contextual determinants of consumer behavior.",1
"He studied architecture at the Aristotle University of Thessaloniki in Greece, and received his PhD from Delft University of Technology for research into the automated recognition of architectural drawings. He has worked as an architect, consultant, researcher, and also as a teacher. His research interests include representation, visualization, perception, analysis, typology, and information management.",21,0,"She studied architecture at the Aristotle University of Thessaloniki in Greece, and received her PhD from Delft University of Technology for research into the automated recognition of architectural drawings. She has worked as an architect, consultant, researcher, and also as a teacher. Her research interests include representation, visualization, perception, analysis, typology, and information management.",1
"Cheryl joined Perspectives in 1993 after working on Perspectives’ annual audit while employed by a public accounting firm. Her accounting specialty is recipients of federal awards. She has an extensive working knowledge of federal laws and regulations, ensuring compliance with Perspectives’ numerous government contracts and seventeen deferred government loans. She has developed and maintained extensive non-profit fund accounting systems and internal control policies and procedures. As a member of the management team, Cheryl helped lead the annual budget growth from $800,000 to $3,000,000 during her twenty year tenure.",0,1,"Cheryl joined Perspectives in 1993 after working on Perspectives’ annual audit while employed by a public accounting firm. His accounting specialty is recipients of federal awards. He has an extensive working knowledge of federal laws and regulations, ensuring compliance with Perspectives’ numerous government contracts and seventeen deferred government loans. He has developed and maintained extensive non-profit fund accounting systems and internal control policies and procedures. As a member of the management team, Cheryl helped lead the annual budget growth from $800,000 to $3,000,000 during his twenty year tenure.",1
"She sees the roots of poetry in song. Whether it be a gossamerlight nursery rhyme or a well turned sonnet, it will have that instinctive element of song. Jean’s closeness to nature’s cycles puts her in a direct line with such poets as John Clare, Thomas Hardy, Robert Frost and Edward Thomas” (excerpt from introduction to Up The Lane). Both chapbooks are available either with plain covers or with covers that have an original ink illustration by Barbara Sedassy.",20,1,"He sees the roots of poetry in song. Whether it be a gossamerlight nursery rhyme or a well turned sonnet, it will have that instinctive element of song. Jean’s closeness to nature’s cycles puts him in a direct line with such poets as John Clare, Thomas Hardy, Robert Frost and Edward Thomas” (excerpt from introduction to Up The Lane). Both chapbooks are available either with plain covers or with covers that have an original ink illustration by Barbara Sedassy.",1
"He earned a B.A. from Indiana University - Southeast and a M.F.A. from the University of Delaware. Prior to joining the faculty Richard worked as a publishing manager, assistant art director, and computer graphics artist. His current interests are in digital illustration and interactive media. Professor Kopp began teaching for Purdue in 1994. Richard is a member of the Association for Computing Machinery's Special Interest Group on Computer Graphics and Interactive Techniques and a past president of the Society of Technical Communication's local Kentuckiana chapter.Research InterestsRaster ImagingInterface Design Search Directory:",21,0,"She earned a B.A. from Indiana University - Southeast and a M.F.A. from the University of Delaware. Prior to joining the faculty Richard worked as a publishing manager, assistant art director, and computer graphics artist. Her current interests are in digital illustration and interactive media. Professor Kopp began teaching for Purdue in 1994. Richard is a member of the Association for Computing Machinery's Special Interest Group on Computer Graphics and Interactive Techniques and a past president of the Society of Technical Communication's local Kentuckiana chapter.Research InterestsRaster ImagingInterface Design Search Directory:",1
"Alongside her post at the New School Diane teaches on the Cultural Leadership Program at Banff Centre for Arts and Creativity in Canada and teaches a workshop on Cultural Policy at Yale University for its Theater Management MA. She is also a doctoral candidate at Erasmus University Rotterdam (in the Netherlands), where she lectured 2011-2015 in the cultural economics and sociology of the arts programs. Read More…",21,1,"Alongside his post at the New School Diane teaches on the Cultural Leadership Program at Banff Centre for Arts and Creativity in Canada and teaches a workshop on Cultural Policy at Yale University for its Theater Management MA. He is also a doctoral candidate at Erasmus University Rotterdam (in the Netherlands), where he lectured 2011-2015 in the cultural economics and sociology of the arts programs. Read More…",1
He has published two texts regarding Franchise and Distribution. A large part of Mr. Gurnick's practice also covers Intellectual Property and Busines Litigation. The State Bar Certified Specialist in Franchise and Distribution Law is named one of the Top 25 Attorneys of the San Fernando Valley.,2,0,She has published two texts regarding Franchise and Distribution. A large part of Ms. Gurnick's practice also covers Intellectual Property and Busines Litigation. The State Bar Certified Specialist in Franchise and Distribution Law is named one of the Top 25 Attorneys of the San Fernando Valley.,1
"She also received a Master of Science in Gerontology at the University of Utah. She then went on to do a Master of Medical Science in Physician Assistant Studies at Midwestern University in Glendale, Arizona in 2010.",19,1,"He also received a Master of Science in Gerontology at the University of Utah. He then went on to do a Master of Medical Science in Physician Assistant Studies at Midwestern University in Glendale, Arizona in 2010.",1
His research aims to understand how the French-Canadian minority in Manitoba dealt in the past with the loss of its linguistic and school rights in a multicultural context.,21,0,Her research aims to understand how the French-Canadian minority in Manitoba dealt in the past with the loss of its linguistic and school rights in a multicultural context.,1
"His master and bachelor’s degrees are from Penn State, and his Ph.D. is from Texas A&M, all in geography. His areas of specialization are biogeography, landscape ecology, ecological modeling, and GIS applications in environmental science and remote sensing.",21,0,"Her master and bachelor’s degrees are from Penn State, and her Ph.D. is from Texas A&M, all in geography. Her areas of specialization are biogeography, landscape ecology, ecological modeling, and GIS applications in environmental science and remote sensing.",1
"More recently, he's been the producer of two sitcoms, but only the star of one. He practices a style of comedy that walks an exceedingly thin line, with sophisticated and occasionally literary humor on one side, and crass immaturity and scatology on the other. Additionally, he has an infatuation with puns that rivals that of Jasper Fforde; the names of many of his characters, sketches, and the titles of his shows very often make use of some sort of phonetic wordplay. For example, his sketch show Derbez en cuando is a pun on the Spanish phrase ""de vez en cuando,"" or ""every once in a while"" for English-speakers.",4,0,"More recently, she's been the producer of two sitcoms, but only the star of one. She practices a style of comedy that walks an exceedingly thin line, with sophisticated and occasionally literary humor on one side, and crass immaturity and scatology on the other. Additionally, she has an infatuation with puns that rivals that of Jasper Fforde; the names of many of her characters, sketches, and the titles of her shows very often make use of some sort of phonetic wordplay. For example, her sketch show Derbez en cuando is a pun on the Spanish phrase ""de vez en cuando,"" or ""every once in a while"" for English-speakers.",1
"She graduated with honors in 1998. Having more than 18 years of diverse experiences, especially in NURSE PRACTITIONER, Joyce Honea affiliates with many hospitals including North Colorado Medical Center, Medical Center Of The Rockies, and cooperates with other doctors and specialists in many medical groups including Wound Care Associates Inc, Poudre Valley Medical Group, LLC. Call Joyce Honea on phone number (970) 297-6250 for more information and advises or to book an appointment.",13,1,"He graduated with honors in 1998. Having more than 18 years of diverse experiences, especially in NURSE PRACTITIONER, Joyce Honea affiliates with many hospitals including North Colorado Medical Center, Medical Center Of The Rockies, and cooperates with other doctors and specialists in many medical groups including Wound Care Associates Inc, Poudre Valley Medical Group, LLC. Call Joyce Honea on phone number (970) 297-6250 for more information and advises or to book an appointment.",1
"She graduated with honors from University Of Cincinnati College Of Medicine in 2012. Having more than 4 years of diverse experiences, especially in NURSE PRACTITIONER, Nancy H Gurganus affiliates with Carteret General Hospital, and cooperates with other doctors and specialists in medical group Cape Lookout Primary Care, Pc. Call Nancy H Gurganus on phone number (252) 728-3252 for more information and advises or to book an appointment.",13,1,"He graduated with honors from University Of Cincinnati College Of Medicine in 2012. Having more than 4 years of diverse experiences, especially in NURSE PRACTITIONER, Nancy H Gurganus affiliates with Carteret General Hospital, and cooperates with other doctors and specialists in medical group Cape Lookout Primary Care, Pc. Call Nancy H Gurganus on phone number (252) 728-3252 for more information and advises or to book an appointment.",1
"Ms. Garufi-Mcavoy practices medicine in Rocky Hill, CT and specializes in Sports Medicine. Ms. Garufi-Mcavoy is affiliated with Johnson Memorial Medical Center and Saint Francis Hospital & Medical Center. Ms. Garufi-Mcavoy speaks English and Spanish.",19,1,"Mr. Garufi-Mcavoy practices medicine in Rocky Hill, CT and specializes in Sports Medicine. Mr. Garufi-Mcavoy is affiliated with Johnson Memorial Medical Center and Saint Francis Hospital & Medical Center. Mr. Garufi-Mcavoy speaks English and Spanish.",1
"She lives in downtown LA. She publishes the blog The Bus Bench, a satirical and editorial look at transportation and Los Angeles from the street. She also is the Tracks columnist for LA City Beat.",11,1,"He lives in downtown LA. He publishes the blog The Bus Bench, a satirical and editorial look at transportation and Los Angeles from the street. He also is the Tracks columnist for LA City Beat.",1
"Since graduating from Queen's University, Belfast with 1st Class Hons BMus degree, Marc has embarked upon a PhD in Composition with Prof. Piers Hellawell at the same institution and is currently in his second year of research, with support from DEL.",5,0,"Since graduating from Queen's University, Belfast with 1st Class Hons BMus degree, Marc has embarked upon a PhD in Composition with Prof. Piers Hellawell at the same institution and is currently in her second year of research, with support from DEL.",1
"He studied piano and traditional percussion in Greece, and composition at NYU at the graduate program of composition and film scoring. He has worked with several ensembles ranging from solo to full orchestra as well as in several films, theatrical plays and dance performances. He currently lives and works in New York.",5,0,"She studied piano and traditional percussion in Greece, and composition at NYU at the graduate program of composition and film scoring. She has worked with several ensembles ranging from solo to full orchestra as well as in several films, theatrical plays and dance performances. She currently lives and works in New York.",1
"Woodruff School of Mechanical Engineering at Georgia Tech. Despite being offered the position five years ago, he joined Georgia Tech only recently after the completion of his post-doctoral research at Beth Israel Deaconess Medical Center and Harvard Medical school. His main area of research is Bioengineering: studying inflammation and its effect on vasculature as well as developing a microfluidic platform to study interactions between cells and proteins which cause the progression of inflammatory diseases.",21,0,"Woodruff School of Mechanical Engineering at Georgia Tech. Despite being offered the position five years ago, she joined Georgia Tech only recently after the completion of her post-doctoral research at Beth Israel Deaconess Medical Center and Harvard Medical school. Her main area of research is Bioengineering: studying inflammation and its effect on vasculature as well as developing a microfluidic platform to study interactions between cells and proteins which cause the progression of inflammatory diseases.",1
Her passion for creating beautiful spaces began early on when she was allowed to select the finish color of her first “big girl” bedroom set at the age of six. Linda received a Certificate in Decorative Arts from the prestigious Boston Architectural College in 2002 and opened her own firm shortly thereafter. In 2012 Linda was awarded the IFDA New England/Design New England Magazine Showcase award for Best Living Space for her Back Bay Penthouse project. She was recently named to the Boston Design Center Designer-on-Call program for 2017 which offers professional interior design services to those who wish access to this exclusive trade-only design center. Linda’s work has been published both regionally and nationally.,10,1,His passion for creating beautiful spaces began early on when he was allowed to select the finish color of his first “big boy” bedroom set at the age of six. Linda received a Certificate in Decorative Arts from the prestigious Boston Architectural College in 2002 and opened his own firm shortly thereafter. In 2012 Linda was awarded the IFDA New England/Design New England Magazine Showcase award for Best Living Space for his Back Bay Penthouse project. He was recently named to the Boston Design Center Designer-on-Call program for 2017 which offers professional interior design services to those who wish access to this exclusive trade-only design center. Linda’s work has been published both regionally and nationally.,1
"In addition to chamber works, she also writes for large instrument ensembles and choral ensembles. She is a music professor at Regis University. More information about her and her works can be found on her website. Please take a moment to listen to the third movement of String Quartet OCD and consider donating to the Indiegogo campaign to help make the recording a reality.",5,1,"In addition to chamber works, he also writes for large instrument ensembles and choral ensembles. He is a music professor at Regis University. More information about him and his works can be found on his website. Please take a moment to listen to the third movement of String Quartet OCD and consider donating to the Indiegogo campaign to help make the recording a reality.",1
"He holds a PhD in entrepreneurship and strategy from the University of Washington in Seattle. While completing his PhD, he taught corporate entrepreneurship on executive MBA programme at the University of Washington and was a visiting lecturer at the Gordon Institute of Business Science, where he taught entrepreneurship and corporate entrepreneurship on GIBS MBA and Executive Education programmes. Greg was a full-time faculty member at GIBS for three years prior to moving to the USA to do his PhD. Before joining GIBS he founded and sold a training products company called Learninglab and prior to that he worked for four years at Deloitte as a senior manager in the learning and development department. ​​",21,0,"She holds a PhD in entrepreneurship and strategy from the University of Washington in Seattle. While completing her PhD, she taught corporate entrepreneurship on executive MBA programme at the University of Washington and was a visiting lecturer at the Gordon Institute of Business Science, where she taught entrepreneurship and corporate entrepreneurship on GIBS MBA and Executive Education programmes. Greg was a full-time faculty member at GIBS for three years prior to moving to the USA to do her PhD. Before joining GIBS she founded and sold a training products company called Learninglab and prior to that she worked for four years at Deloitte as a senior manager in the learning and development department. ​​",1
